ID;iata;icao;airportDescription;location;country
3068ac23-43e0-45ac-9c36-00bafc9cd673;AEP;SABE;Aeroparque Jorge Newbery;Buenos Aires;Argentina
ae1fb369-3cee-4868-8ee0-14e2af2348bc;AES;ENAL;Alesund Airport;Alesund;Norway
b909d685-f9be-41d6-8acd-a32097ca4270;AEX;KAEX;Alexandria Intl Airport;Alexandria, Louisiana;USA
7fc14fd2-ec6d-40f7-a410-54ff65446c07;AEY;BIAR;Akureyri Airport;Akureyri;Iceland
2c139477-8498-4a8a-a90f-e1924937c0c3;AFA;SAMR;Suboficial Aytes Germano Airport;San Rafael;Argentina
89789590-ad0c-4b2a-b257-cc3c00ea64f3;AFD;FAPA;Port Alfred;Port Alfred;South Africa
32a8454e-0962-4c2d-8bd9-d02b4a46bc5a;AGA;GMAD;Al-Massira;Agadir;Morocco
b075029c-5892-4df9-b928-d0e5433beaa9;AGB;EDMA;Augsburg;Augsburg;Germany
a060c3a5-d471-44c2-89f0-65ace8a6000e;AGE;EDWG;Wangerooge;Wangerooge;Germany
f6199ebe-c10d-4a79-a1ac-9f62f3199582;AGF;LFBA;Agen - La Garenne Airport;Agen;France
5857a6ad-fe29-433c-9b02-032523a8d146;AGH;ESTA;Angelholm;Angelholm;Sweden
7cc987bc-1128-4699-a4fa-24cbe94e59af;AGJ;RORA;Aguni Airport;Okinawa;Japan
8d851e60-fd17-4a77-bfa0-9168bd03a933;AGM;BGAM;Angmagssalik Airport;Ammassalik;Greenland (Denmark)
2b932163-3b9e-4456-bfb0-52602d8e9ea5;AGP;LEMG;Malaga Airport;Malaga;Spain
186d00cd-9d89-4002-b41a-a3818b5091db;AGR;VIAG;Agra Airport (Mil./Civil);Agra (Uttar Pradesh);India
10d59eb5-69d7-4500-ab7a-163e03127b54;AGS;KAGS;Augusta Regional Airport at Bush Field;Augusta, Georgia;USA
672ab380-f75d-4094-b99c-6a39feb42e44;AGU;MMAS;Lic. Jesus Teran Peredo Intl Airport;Aguascalientes;Mexico
