ID;iata;icao;airportDescription;location;country
9b27a987-dfb1-4279-869b-7142263b12ec;MSP;KMSP;Minneapolis-St. Paul Intl Airport;Minneapolis, Minnesota;USA
d8200a92-d2bc-4c08-a2d3-cf9402a4c1d0;MSY;KMSY;Louis Armstrong New Orleans Intl Airport;New Orleans, Louisiana;USA
c41d7797-7585-40e5-b090-aca1eaf1aa85;MTJ;KMTJ;Montrose Regional Airport;Montrose, Colorado;USA
1a299ccc-61a3-4c71-9bd4-b49b98a231f3;MVY;KMVY;Martha's Vineyard Airport;Vineyard Haven, Massachusetts;USA
a5e3819a-8e8c-42dc-9708-b7ca34be93fe;MWA;KMWA;Williamson County Regional Airport;Marion, Illinois;USA
7e78cfb5-cb80-4c88-b344-8d7fbb242d8a;MYR;KMYR;Myrtle Beach Intl Airport;Myrtle Beach, South Carolina;USA
665f98d4-0780-4120-8488-2ae4ba771661;OAJ;KOAJ;Albert J. Ellis Airport;Jacksonville, North Carolina;USA
bf8d6d46-cd73-45dc-94ad-3730f4326025;OAK;KOAK;Metropolitan Oakland Intl Airport;Oakland, California;USA
3946622f-ca21-43e6-b6e7-757df764de77;OGG;PHOG;Kahului Airport;Kahului, Hawaii;USA
bfdfd64f-b0ea-43b5-9151-3b0d3a1b0d9a;OKC;KOKC;Will Rogers World Airport;Oklahoma City, Oklahoma;USA
c5f1219b-6791-4f52-b0c1-4424af70b6d0;OMA;KOMA;Eppley Airfield;Omaha, Nebraska;USA
873fa6fa-e02b-46ca-a7c1-14ac2c4d6dae;OME;PAOM;Nome Airport;Nome, Alaska;USA
e178dc67-b63d-4043-beb3-4c06855c3391;ONT;KONT;Ontario Intl Airport;Ontario, California;USA
cdb1c6b2-e4f6-448a-877b-6e0462fc0317;ORD;KORD;Chicago O'Hare Intl Airport;Chicago, Illinois;USA
5515b90a-0c0c-48af-99c3-bb28e752702c;ORF;KORF;Norfolk Intl Airport;Norfolk, Virginia;USA
46a63e78-eacf-47f8-8a58-829a6142fedf;ORH;KORH;Worcester Regional Airport;Worcester, Massachusetts;USA
d67cd7af-8310-4667-892c-4c54c80204a8;OTH;KOTH;Southwest Oregon Regional Airport (was North Bend Municipal);North Bend, Oregon;USA
b1e89ece-aee0-4dae-8cb9-3a3c3bfa3d4c;OTZ;PAOT;Ralph Wien Memorial Airport;Kotzebue, Alaska;USA
ac81a73a-b7af-42fc-bc38-46f703b1bc5e;OXR;KOXR;Oxnard Airport;Oxnard, California;USA
77c068b1-f58b-4335-8101-c98d25d20347;PAH;KPAH;Barkley Regional Airport;Paducah, Kentucky;USA
0465fd28-5831-4644-8486-34d4b1135d1f;PBI;KPBI;Palm Beach Intl Airport;West Palm Beach, Florida;USA
6ff81918-c2de-48b5-980b-975597d66e2a;PCW;KPCW;Erie-Ottawa Regional Airport (Carl R. Keller Field);Port Clinton, Ohio;USA
4cd5aac6-c9c8-4910-a8fd-b746f1654978;PDT;KPDT;Eastern Oregon Regional Airport at Pendleton;Pendleton, Oregon;USA
1f610ed4-318c-45a6-ae47-cc29694af332;PDX;KPDX;Portland Intl Airport;Portland, Oregon;USA
eb5f35f3-73a2-466a-b3c9-1d7273ace223;PFN;KPFN;Panama City-Bay County Intl Airport;Panama City, Florida;USA
099c1939-a958-4b8d-9f06-c81a37c0b1db;PGA;KPGA;Page Municipal Airport;Page, Arizona;USA
